"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","C_Polarized","~","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","1",""
"J1","Power","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1",""
"J2,J4","Digital/PWM","","-- mixed values --","2",""
"J3","Analog","~","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","1",""
"J5","LED_STRIP","~","Connector_JST:JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal","1",""
"LED_1","LED","~","LED_THT:LED_D5.0mm","1",""
"LS1","Speaker","~","Buzzer_Beeper:Buzzer_15x7.5RM7.6","1",""
"R1","220","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","1",""
"R2","330","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","1",""
"SW1","SPKR","~","Button_Switch_THT:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile","1",""
"SW2","RST","~","Button_Switch_THT:SW_PUSH_1P1T_6x3.5mm_H5.0_APEM_MJTP1250","1",""
